Index,Origin,Dest
504655,BNA,LAX
704089,EWR,SYR
104980,EWR,MYR
405264,DSM,ORD
1045053,CLT,MEM
423469,MSP,ORD
905051,JFK,ATL
740652,CLT,PIT
382240,SAN,LAX
1009645,DTW,BDL
155881,LGA,RDU
98921,ABQ,AUS
697682,MSY,RDU
188412,PHL,MKE
293561,ONT,PHX
705495,IAH,OKC
1031309,DTW,MSN
76625,PHX,SMF
140487,PHX,OKC
120060,IAH,PBI
52674,HOU,DAL
245552,ORD,IAD
848248,DCA,BOS
484516,DCA,MIA
437038,DTW,MSP
249269,DEN,BIL
940222,ATL,PBI
8376,SMF,LAX
1017070,DTW,MSP
174352,PDX,SLC
102209,LAX,DEN
953745,PNS,ATL
164149,CVG,JAX
523075,AUS,DFW
30168,LAX,HOU
1040570,FLL,IND
159873,JFK,RIC
660832,PHX,LAX
768431,SAN,SLC
656162,LAS,MDW
90917,BUF,BWI
226784,BWI,ORD
422400,LGA,PIT
718388,BWI,EWR
386169,TYR,DFW
426029,DTW,DCA
811628,JFK,LAX
418398,CMH,RDU
970296,DFW,VPS
933321,DEN,MDW
64716,BNA,PHL
968176,ACT,DFW
756988,JFK,PWM
554901,ORD,JFK
66582,OAK,PDX
453750,CVG,MKE
123551,EWR,PIT
644760,PDX,BOI
249309,OAK,ORD
970980,DFW,GPT
168479,JFK,PIT
400150,OMA,ORD
544633,OAK,SNA
752946,CVG,MIA
934546,DEN,SJC
194884,CPR,SLC
16236,HOU,DAL
817104,DSM,DEN
779312,SLC,AUS
669836,LAS,BUR
693437,MSY,LAS
895753,ATL,EGE
262279,PHX,BOI
516273,LAX,STL
412781,ORD,RST
113118,CLE,MCI
678362,DAL,MAF
299213,HOU,DAL
703335,IAH,MKE
954748,ATL,PHF
786486,ORD,HPN
511990,DFW,OKC
1007758,DTW,FLL
626516,TPA,PIT
1014643,MSP,MCO
795831,DEN,FAR
119919,CLE,SRQ
943597,FLL,ATL
342029,ATL,CAK
88399,LAS,HOU
300460,OKC,PHX
871710,TPA,DCA
448776,DTW,ALB
506970,ORD,EWR
243877,IAD,DEN
932780,DEN,IND
812986,LAX,ORD
42818,IND,MDW
314617,JFK,PHX
988518,ORD,TYS
330086,ATL,AVL
238017,ORD,LGA
844792,LAS,ORD
1036993,DTW,BGM
774378,MKE,OMA
634044,MDW,ORF
71937,DAL,AUS
1007384,DTW,DCA
327884,MLI,ATL
863921,PIT,PHL
913794,ATL,VPS
90403,SNA,PHX
830195,ORD,SJC
717942,LFT,IAH
523830,DFW,RSW
748108,RDU,LGA
982264,CMI,ORD
925488,CHO,ATL
176779,ABE,ORD
184542,SBA,SFO
835812,SFO,LAX
